CUI	Uniprot_Name	Uniprot_id	Gene_name	EnsembleGeneId	TTD_id	disgenet_gene_id
C1539929	TATD2_HUMAN	Q93075	TATDN2	ENSG00000157014	null	null
C2681843	M4A14_HUMAN	Q96JA4	MS4A14	ENSG00000166928	null	84689
C1826388	NCKPL_HUMAN	P55160	NCKAP1L	ENSG00000123338	null	3071
C1822614	SAT1_HUMAN	P21673	SAT1	ENSG00000130066	null	6303
C1539500	FBX46_HUMAN	Q6PJ61	FBXO46	ENSG00000177051	null	23403
C1428075	ENPP6_HUMAN	Q6UWR7	ENPP6	ENSG00000164303	null	133121
C1422892	OR4N2_HUMAN	Q8NGD1	OR4N2	ENSG00000176294	null	null
C1424868	ZFR_HUMAN	Q96KR1	ZFR	ENSG00000056097	null	51663
C1422419	CRML_HUMAN	Q96RY5	CRAMP1	ENSG00000007545	null	57585
C1539907	SYVN1_HUMAN	Q86TM6	SYVN1	ENSG00000162298	T01441	84447
C1423686	BAGE2_HUMAN	Q86Y30	null	ENSG00000187172	null	null
C1332752	CENPF_HUMAN	P49454	CENPF	ENSG00000117724	null	1063
C1539969	TKTL2_HUMAN	Q9H0I9	TKTL2	ENSG00000151005	null	84076
C2239313	CGAT1_HUMAN	Q8TDX6	CSGALNACT1	ENSG00000147408	null	55790
C1424791	SYT15_HUMAN	Q9BQS2	SYT15	ENSG00000204176	null	null
C1824987	DOXA2_HUMAN	Q1HG44	DUOXA2	ENSG00000140274	null	405753
C1332407	BKRB2_HUMAN	P30411	BDKRB2	ENSG00000168398	T23714	624
C1825260	F122B_HUMAN	Q7Z309	FAM122B	ENSG00000156504	null	null
C1825844	ACTL8_HUMAN	Q9H568	ACTL8	ENSG00000117148	null	81569
C1439353	HRH3_HUMAN	Q9Y5N1	HRH3	ENSG00000101180	T64765	11255
C1423381	OR5T2_HUMAN	Q8NGG2	OR5T2	ENSG00000181718	null	null
C1425433	VATH_HUMAN	Q9UI12	ATP6V1H	ENSG00000047249	null	51606
C1826561	DLP1_HUMAN	Q86YH6	PDSS2	ENSG00000164494	null	57107
C1421576	ZKSC5_HUMAN	Q9Y2L8	ZKSCAN5	ENSG00000196652	null	23660
C1335817	SH23A_HUMAN	Q9BRG2	SH2D3A	ENSG00000125731	null	10045
C1418316	PCDAD_HUMAN	Q9Y5I0	PCDHA13	ENSG00000239389	null	56136
C1420968	A0A0A6YYK7_HUMAN	A0A0A6YYK7	TRAV19	ENSG00000211799	null	null
C1825635	JAZF1_HUMAN	Q86VZ6	JAZF1	ENSG00000153814	null	221895
C1538032	NACA2_HUMAN	Q9H009	NACA2	ENSG00000253506	null	342538
C1428686	WDR34_HUMAN	Q96EX3	DYNC2I2	ENSG00000119333	null	89891
C1538199	ZN620_HUMAN	Q6ZNG0	ZNF620	ENSG00000177842	null	253639
C1412407	TRPA1_HUMAN	O75762	TRPA1	ENSG00000104321	T84040	8989
C1333719	T2EA_HUMAN	P29083	GTF2E1	ENSG00000153767	null	null
C1425004	MTCH1_HUMAN	Q9NZJ7	MTCH1	ENSG00000137409	null	null
C1415129	GMDS_HUMAN	O60547	GMDS	ENSG00000112699	null	2762
C1416947	LZTR1_HUMAN	Q8N653	LZTR1	ENSG00000099949	null	8216
C1417600	SNAG_HUMAN	Q99747	NAPG	ENSG00000134265	null	8774
C1824055	ZN782_HUMAN	Q6ZMW2	ZNF782	ENSG00000196597	null	null
C1428388	PHF19_HUMAN	Q5T6S3	PHF19	ENSG00000119403	null	26147
C3470667	CU093_HUMAN	P59091	null	ENSG00000184274	null	null
C1413677	CPNE3_HUMAN	O75131	CPNE3	ENSG00000085719	null	8895
C1419025	PRS8_HUMAN	P62195	PSMC5	ENSG00000087191	null	5705
C1424524	CSN7B_HUMAN	Q9H9Q2	COPS7B	ENSG00000144524	null	64708
C1415111	GLRX1_HUMAN	P35754	GLRX	ENSG00000173221	T72405	2745
C1823327	CSC1_HUMAN	Q9P1W3	TMEM63C	ENSG00000165548	null	57156
C1826357	NAA50_HUMAN	Q9GZZ1	NAA50	ENSG00000121579	null	80218
C1418437	ODPA_HUMAN	P08559	PDHA1	ENSG00000131828	null	5160
C1826715	PRR11_HUMAN	Q96HE9	PRR11	ENSG00000068489	null	55771
C1416473	IRF5_HUMAN	Q13568	IRF5	ENSG00000128604	null	3663
C2678538	O14A2_HUMAN	Q96R54	OR14A2	ENSG00000241128	null	null
C1420954	A0A0B4J248_HUMAN	A0A0B4J248	TRAV1-1	ENSG00000255569	null	null
C1424212	HOT_HUMAN	Q8IWW8	ADHFE1	ENSG00000147576	null	137872
C1825073	EXD2_HUMAN	Q9NVH0	EXD2	ENSG00000081177	null	55218
C3471511	RHAS1_HUMAN	Q9BWJ2	null	ENSG00000254389	null	null
C2240307	CO052_HUMAN	Q6ZUT6	CCDC9B	ENSG00000188549	null	388115
C1423920	FGD3_HUMAN	Q5JSP0	FGD3	ENSG00000127084	null	89846
C1336637	TLR5_HUMAN	O60602	TLR5	ENSG00000187554	T43718	7100
C1422264	DMRTC_HUMAN	Q5HYR2	null	ENSG00000269502	null	null
C1416475	IRF7_HUMAN	Q92985	IRF7	ENSG00000185507	null	3665
C1539983	TMED1_HUMAN	Q13445	TMED1	ENSG00000099203	null	11018
C2681326	CC150_HUMAN	Q8NCX0	CCDC150	ENSG00000144395	null	null
C1425141	HAVR1_HUMAN	Q96D42	HAVCR1	ENSG00000113249	null	26762
C1419416	RNF14_HUMAN	Q9UBS8	RNF14	ENSG00000013561	null	9604
C1826258	MLXIP_HUMAN	Q9HAP2	MLXIP	ENSG00000175727	null	22877
C1825874	LRP5L_HUMAN	A4QPB2	LRP5L	ENSG00000100068	null	91355
C1416968	MAFK_HUMAN	O60675	MAFK	ENSG00000198517	null	7975
C3146448	S14L6_HUMAN	B5MCN3	SEC14L6	ENSG00000214491	null	730005
C1428866	RISC_HUMAN	Q9HB40	SCPEP1	ENSG00000121064	null	59342
C1417228	MOG_HUMAN	Q16653	MOG	ENSG00000204655	T00295	4340
C1412798	BIN3_HUMAN	Q9NQY0	BIN3	ENSG00000147439	null	55909
C1420374	SPR2A_HUMAN	P35326	SPRR2A	ENSG00000241794	null	6700
C1418518	AGM1_HUMAN	O95394	PGM3	ENSG00000013375	null	5238
C1412737	BARX1_HUMAN	Q9HBU1	BARX1	ENSG00000131668	null	56033
C1420316	SOX1_HUMAN	O00570	SOX1	ENSG00000182968	null	6656
C1824644	CC115_HUMAN	Q96NT0	CCDC115	ENSG00000136710	null	84317
C1420262	SPSY_HUMAN	P52788	SMS	ENSG00000102172	null	6611
C1424665	CGRE1_HUMAN	Q99674	CGREF1	ENSG00000138028	null	10669
C1427090	ZDH19_HUMAN	Q8WVZ1	ZDHHC19	ENSG00000163958	null	131540
C1427559	UPK3B_HUMAN	Q9BT76	UPK3B	ENSG00000243566	null	105375355
C1426733	PTGR2_HUMAN	Q8N8N7	PTGR2	ENSG00000140043	null	145482
C1422371	RT17_HUMAN	Q9Y2R5	MRPS17	ENSG00000239789	null	51373
C1414353	4EBP2_HUMAN	Q13542	EIF4EBP2	ENSG00000148730	T80011	1979
C1418756	PON3_HUMAN	Q15166	PON3	ENSG00000105852	null	5446
C1415512	HERC2_HUMAN	O95714	HERC2	ENSG00000128731	null	8924
C1419751	RS7_HUMAN	P62081	RPS7	ENSG00000171863	null	6201
C1418033	OR2I1_HUMAN	Q8NGU4	null	ENSG00000237988	null	null
C1412284	ADAS_HUMAN	O00116	AGPS	ENSG00000018510	null	8540
C1424852	KNTC1_HUMAN	P50748	KNTC1	ENSG00000184445	null	9735
C1413282	CADH8_HUMAN	P55286	CDH8	ENSG00000150394	null	1006
C1825278	FANCI_HUMAN	Q9NVI1	FANCI	ENSG00000140525	null	55215
C3469689	SRTM1_HUMAN	A2A2V5	SERTM1	ENSG00000180440	null	null
C3471330	NYAP1_HUMAN	Q6ZVC0	NYAP1	ENSG00000166924	null	222950
C2829222	Z705G_HUMAN	A8MUZ8	ZNF705G	ENSG00000215372	null	100131980
C1413418	CHST5_HUMAN	Q9GZS9	CHST5	ENSG00000135702	T03404	23563
C1824441	BAP18_HUMAN	Q8IXM2	BAP18	ENSG00000258315	null	124944
C3539333	LRCL1_HUMAN	A6NCL2	LRCOL1	ENSG00000204583	null	null
C3148439	HMN8_HUMAN	P0CJ75	MTRNR2L8	ENSG00000255823	null	100463486
C1845260	K2022_HUMAN	Q5QGS0	NEXMIF	ENSG00000050030	null	340533
C1539715	MTG8_HUMAN	Q06455	RUNX1T1	ENSG00000079102	null	862
C1824334	CK068_HUMAN	Q9H3H3	C11orf68	ENSG00000175573	null	83638
C1424968	CSTN1_HUMAN	O94985	CLSTN1	ENSG00000171603	null	22883
C1419949	SEM4C_HUMAN	Q9C0C4	SEMA4C	ENSG00000168758	null	54910
C1424994	ABHD1_HUMAN	Q96SE0	ABHD1	ENSG00000143994	null	84696
C1420828	TNNT2_HUMAN	P45379	TNNT2	ENSG00000118194	T05887	7139
C1421197	TSG13_HUMAN	Q96PP4	TSGA13	ENSG00000213265	null	114960
C1424571	SREC_HUMAN	Q14162	SCARF1	ENSG00000074660	null	8578
C1421649	ZNF16_HUMAN	P17020	ZNF16	ENSG00000170631	null	null
C4225216	NSG2_HUMAN	Q9Y328	NSG2	ENSG00000170091	null	51617
C1366562	ITAM_HUMAN	P11215	ITGAM	ENSG00000169896	T95616	3684
C1415268	GPR87_HUMAN	Q9BY21	GPR87	ENSG00000138271	T26073	53836
C1414459	ESTD_HUMAN	P10768	ESD	ENSG00000139684	null	2098
C1421432	VAX1_HUMAN	Q5SQQ9	VAX1	ENSG00000148704	null	11023
C1414245	ECEL1_HUMAN	O95672	ECEL1	ENSG00000171551	null	9427
C1419426	RNF5_HUMAN	Q99942	RNF5	ENSG00000204308	null	6048
C1335083	ORC1_HUMAN	Q13415	ORC1	ENSG00000085840	null	4998
C1412109	ACDSB_HUMAN	P45954	ACADSB	ENSG00000196177	null	36
C1415198	GPC6_HUMAN	Q9Y625	GPC6	ENSG00000183098	null	10082
C1416823	LDOC1_HUMAN	O95751	LDOC1	ENSG00000182195	null	23641
C1417064	MC4R_HUMAN	P32245	MC4R	ENSG00000166603	T72458	4160
C1419154	PYGB_HUMAN	P11216	PYGB	ENSG00000100994	null	5834
C1416671	KLK11_HUMAN	Q9UBX7	KLK11	ENSG00000167757	null	11012
C1420149	NCKX4_HUMAN	Q8NFF2	SLC24A4	ENSG00000140090	null	123041
C1418993	PSG11_HUMAN	Q9UQ72	PSG11	ENSG00000243130	null	5680
C1539083	CD52_HUMAN	P31358	CD52	ENSG00000169442	T76630	1043
C2681484	F157C_HUMAN	P0CG43	null	ENSG00000260528	null	null
C1415344	TF2H2_HUMAN	Q13888	GTF2H2	ENSG00000145736	null	2966
C1336936	VIPR1_HUMAN	P32241	VIPR1	ENSG00000114812	T86364	7433
C1418830	PPR3C_HUMAN	Q9UQK1	PPP1R3C	ENSG00000119938	null	5507
C1539780	NCKX6_HUMAN	Q6J4K2	SLC8B1	ENSG00000089060	T32232	80024
C1414592	FIBA_HUMAN	P02671	FGA	ENSG00000171560	null	2243
C3146985	CST9P_HUMAN	Q5W188	null	ENSG00000204662	null	null
C1426999	KR123_HUMAN	P60328	KRTAP12-3	ENSG00000205439	null	null
C1412643	AT2B4_HUMAN	P23634	ATP2B4	ENSG00000058668	null	493
C1426653	UBP30_HUMAN	Q70CQ3	USP30	ENSG00000135093	T52910	84749
C1826270	MORN2_HUMAN	Q502X0	MORN2	ENSG00000188010	null	729967
C1426447	E41LB_HUMAN	Q9H329	EPB41L4B	ENSG00000095203	null	54566
C1421218	TTF1_HUMAN	Q15361	TTF1	ENSG00000125482	null	7270
C1418644	PLEK_HUMAN	P08567	PLEK	ENSG00000115956	null	5341
C2681308	HIDE1_HUMAN	A8MVS5	HIDE1	ENSG00000214212	null	null
C1419365	RFXAP_HUMAN	O00287	RFXAP	ENSG00000133111	null	5994
C1421345	UD2B4_HUMAN	P06133	UGT2B4	ENSG00000156096	null	7363
C1826596	PKHG5_HUMAN	O94827	PLEKHG5	ENSG00000171680	null	57449
C1824008	Z705E_HUMAN	A8MWA4	ZNF705E	ENSG00000214534	null	null
C1422329	PDLI2_HUMAN	Q96JY6	PDLIM2	ENSG00000120913	null	64236
C1846535	HOP_HUMAN	Q9BPY8	HOPX	ENSG00000171476	null	84525
C1413477	CLD7_HUMAN	O95471	CLDN7	ENSG00000181885	null	1366
C1335267	PRTN3_HUMAN	P24158	PRTN3	ENSG00000196415	T15882	5657
C1417526	MYCP1_HUMAN	P12525	null	ENSG00000204053	null	null
C1540012	TMM40_HUMAN	Q8WWA1	TMEM40	ENSG00000088726	null	55287
C4555106	YQ014_HUMAN	A6NIN4	RNF227	ENSG00000179859	null	null
C2239672	AN34B_HUMAN	A5PLL1	ANKRD34B	ENSG00000189127	null	null
C1427979	THA10_HUMAN	Q9P2Z0	THAP10	ENSG00000129028	null	56906
C1537441	K0040_HUMAN	Q15053	KIAA0040	ENSG00000235750	null	9674
C1439274	ADRB3_HUMAN	P13945	ADRB3	ENSG00000188778	T51408	155
C1425734	ABHD3_HUMAN	Q8WU67	ABHD3	ENSG00000158201	null	171586
C1334537	MBB1A_HUMAN	Q9BQG0	MYBBP1A	ENSG00000132382	null	10514
C1426590	GP141_HUMAN	Q7Z602	GPR141	ENSG00000187037	null	353345
C1415717	AGFG2_HUMAN	O95081	AGFG2	ENSG00000106351	null	3268
C2681847	CMC4_HUMAN	P56277	CMC4	ENSG00000182712	null	100272147
C1417046	MATR3_HUMAN	P43243	MATR3	ENSG00000015479	null	9782
C1424770	CBWD1_HUMAN	Q9BRT8	CBWD1	ENSG00000172785	null	55871
C1413045	CAH4_HUMAN	P22748	CA4	ENSG00000167434	T53378	762
C1412689	ATP7B_HUMAN	P35670	ATP7B	ENSG00000123191	null	540
C3469690	SETD9_HUMAN	Q8NE22	SETD9	ENSG00000155542	null	133383
C1416673	KLK13_HUMAN	Q9UKR3	KLK13	ENSG00000167759	null	26085
C1412497	AQP7_HUMAN	O14520	AQP7	ENSG00000165269	T94438	364
C1540116	TT21A_HUMAN	Q8NDW8	TTC21A	ENSG00000168026	null	199223
C1414928	GA45B_HUMAN	O75293	GADD45B	ENSG00000099860	T70797	4616
C1425778	FBN3_HUMAN	Q75N90	FBN3	ENSG00000142449	null	84467
C1823168	TADA1_HUMAN	Q96BN2	TADA1	ENSG00000152382	null	117143
C1422435	CP013_HUMAN	Q96S19	METTL26	ENSG00000130731	null	null
C1428877	GLSL_HUMAN	Q9UI32	GLS2	ENSG00000135423	null	27165
C1835948	RPB1B_HUMAN	Q9GZM3	POLR2J2	ENSG00000228049	null	null
C1424333	PDLI4_HUMAN	P50479	PDLIM4	ENSG00000131435	null	8572
C1336639	TLR7_HUMAN	Q9NYK1	TLR7	ENSG00000196664	T46482	51284
C1823768	EAF6_HUMAN	Q9HAF1	MEAF6	ENSG00000163875	null	64769
C1336576	TAP2_HUMAN	Q03519	TAP2	ENSG00000204267	null	6891
C1423555	LBX2_HUMAN	Q6XYB7	LBX2	ENSG00000179528	null	85474
C1426107	EMR4_HUMAN	Q86SQ3	null	ENSG00000268758	null	null
C1538319	BCKD_HUMAN	O14874	BCKDK	ENSG00000103507	null	10295
C1539548	GAPD1_HUMAN	Q14C86	GAPVD1	ENSG00000165219	null	26130
C1429106	OR2BB_HUMAN	Q5JQS5	OR2B11	ENSG00000177535	null	127623
C1428044	ACBD6_HUMAN	Q9BR61	ACBD6	ENSG00000230124	null	84320
C1420882	TCTP_HUMAN	P13693	TPT1	ENSG00000133112	T77473	7178
C1413397	CHIO_HUMAN	P52757	CHN2	ENSG00000106069	T52566	1124
C1419308	RBMX_HUMAN	P38159	RBMX	ENSG00000147274	null	27316
C1413280	CADH6_HUMAN	P55285	CDH6	ENSG00000113361	null	1004
C1417969	O10A3_HUMAN	P58181	OR10A3	ENSG00000170683	null	null
C3470303	F219A_HUMAN	Q8IW50	FAM219A	ENSG00000164970	null	203259
C1424625	CRIS3_HUMAN	P54108	CRISP3	ENSG00000096006	null	10321
C1425230	TOM22_HUMAN	Q9NS69	TOMM22	ENSG00000100216	null	null
C1422212	CHST7_HUMAN	Q9NS84	CHST7	ENSG00000147119	null	56548
C1825692	TET2_HUMAN	Q6N021	TET2	ENSG00000168769	null	54790
C1969043	SMS2_HUMAN	Q8NHU3	SGMS2	ENSG00000164023	null	166929
C1835836	S35B2_HUMAN	Q8TB61	SLC35B2	ENSG00000157593	null	347734
C3471499	RBAS1_HUMAN	Q9P1G2	null	ENSG00000279331	null	null
C1425480	CSTN3_HUMAN	Q9BQT9	CLSTN3	ENSG00000139182	null	9746
C1427670	CHCH2_HUMAN	Q9Y6H1	CHCHD2	ENSG00000106153	null	51142
C1414913	GBRA6_HUMAN	Q16445	GABRA6	ENSG00000145863	null	2559
C1420747	KITH_HUMAN	P04183	TK1	ENSG00000167900	T30081	7083
C3470385	ZN815_HUMAN	A8K554	null	ENSG00000235944	null	null
C1424537	KRA15_HUMAN	Q9BYS1	KRTAP1-5	ENSG00000221852	null	null
C1418909	KAP1_HUMAN	P31321	PRKAR1B	ENSG00000188191	null	5575
C1420516	ST1A3_HUMAN	P0DMM9	SULT1A3	ENSG00000261052	null	445329
C1823675	ANR39_HUMAN	Q53RE8	ANKRD39	ENSG00000213337	null	51239
C1825556	HYI_HUMAN	Q5T013	HYI	ENSG00000178922	null	81888
C1417508	KIME_HUMAN	Q03426	MVK	ENSG00000110921	T03453	4598
C1335655	RYK_HUMAN	P34925	RYK	ENSG00000163785	null	6259
C1414289	EF1B_HUMAN	P24534	EEF1B2	ENSG00000114942	null	1933
C1425472	IMPG2_HUMAN	Q9BZV3	IMPG2	ENSG00000081148	null	50939
C1420147	NCKX2_HUMAN	Q9UI40	SLC24A2	ENSG00000155886	null	25769
C1423504	CA2D3_HUMAN	Q8IZS8	CACNA2D3	ENSG00000157445	T27954	55799
C1419603	RORG_HUMAN	P51449	RORC	ENSG00000143365	T25307	6097
C1419785	S10A3_HUMAN	P33764	S100A3	ENSG00000188015	T93537	6274
C0879390	PMS1_HUMAN	P54277	PMS1	ENSG00000064933	T45779	5378
C1416557	KCNC2_HUMAN	Q96PR1	KCNC2	ENSG00000166006	T13394	3747
C1416747	K1C9_HUMAN	P35527	KRT9	ENSG00000171403	null	3857
C1538052	NDUBB_HUMAN	Q9NX14	NDUFB11	ENSG00000147123	null	54539
C1423291	O51I1_HUMAN	Q9H343	OR51I1	ENSG00000167359	null	390063
C1415887	IFI27_HUMAN	P40305	IFI27	ENSG00000165949	null	3429
C1424925	ABC3B_HUMAN	Q9UH17	APOBEC3B	ENSG00000179750	null	9582
C1824788	CRCT1_HUMAN	Q9UGL9	CRCT1	ENSG00000169509	null	54544
C1416418	FOXK2_HUMAN	Q01167	FOXK2	ENSG00000141568	null	3607
C1423074	PPR3E_HUMAN	Q9H7J1	PPP1R3E	ENSG00000235194	null	null
C1425914	KR212_HUMAN	Q3LI59	KRTAP21-2	ENSG00000187026	null	null
C1415346	TF2H4_HUMAN	Q92759	GTF2H4	ENSG00000213780	null	2968
C1825634	JKIP2_HUMAN	Q96AA8	JAKMIP2	ENSG00000176049	null	9832
C1416646	KI2L4_HUMAN	Q99706	KIR2DL4	ENSG00000189013	null	3805
C1415052	GGPPS_HUMAN	O95749	GGPS1	ENSG00000152904	null	9453
C1414513	DHB8_HUMAN	Q92506	HSD17B8	ENSG00000204228	null	7923
C1424109	CST9L_HUMAN	Q9H4G1	CST9L	ENSG00000101435	null	128821
C1415579	DRB4_HUMAN	P13762	null	ENSG00000227357	null	3126
C1426233	TADA3_HUMAN	O75528	TADA3	ENSG00000171148	null	10474
C1418601	PK2L1_HUMAN	Q9P0L9	PKD2L1	ENSG00000107593	T18978	9033
C1427656	ANO1_HUMAN	Q5XXA6	ANO1	ENSG00000131620	T05089	55107
C1538536	OLFL3_HUMAN	Q9NRN5	OLFML3	ENSG00000116774	null	56944
C1423272	OR4D9_HUMAN	Q8NGE8	OR4D9	ENSG00000172742	null	null
C1824221	K0825_HUMAN	Q8IV33	KIAA0825	ENSG00000185261	null	285600
C2681634	KLH35_HUMAN	Q6PF15	KLHL35	ENSG00000149243	null	283212
C1825769	KRT82_HUMAN	Q9NSB4	KRT82	ENSG00000161850	null	null
C1428926	LIMS3_HUMAN	P0CW19	LIMS3	ENSG00000256977	null	100288695
C1539131	COX7S_HUMAN	O60397	null	ENSG00000236764	null	null
C1538674	PKHG3_HUMAN	A1L390	PLEKHG3	ENSG00000126822	null	26030
C2681328	CC152_HUMAN	Q4G0S7	CCDC152	ENSG00000198865	null	100129792
C1336675	CIP4_HUMAN	Q15642	TRIP10	ENSG00000125733	T94364	9322
C1412065	ABCA6_HUMAN	Q8N139	ABCA6	ENSG00000154262	null	23460
C1420240	SL9A6_HUMAN	Q92581	SLC9A6	ENSG00000198689	null	10479
C1414433	HYES_HUMAN	P34913	EPHX2	ENSG00000120915	T35734	2053
C1412499	AQP9_HUMAN	O43315	AQP9	ENSG00000103569	T79566	366
C1426766	RPAC1_HUMAN	O15160	POLR1C	ENSG00000171453	null	9533
C1539048	INF2_HUMAN	Q27J81	INF2	ENSG00000203485	null	64423
C1426997	KR121_HUMAN	P59990	KRTAP12-1	ENSG00000187175	null	null
C1426513	CHST9_HUMAN	Q7L1S5	CHST9	ENSG00000154080	null	83539
C1364020	GPA33_HUMAN	Q99795	GPA33	ENSG00000143167	T57001	10223
C1417656	NEBU_HUMAN	P20929	NEB	ENSG00000183091	null	4703
C1439273	ADRB1_HUMAN	P08588	ADRB1	ENSG00000043591	T44068	153
C1419984	SFPQ_HUMAN	P23246	SFPQ	ENSG00000116560	null	6421
C1334508	KI67_HUMAN	P46013	MKI67	ENSG00000148773	T73414,T61586	4288
C1823945	ZFAT_HUMAN	Q9P243	ZFAT	ENSG00000066827	null	57623
C1414594	FGD1_HUMAN	P98174	FGD1	ENSG00000102302	null	2245
C1826264	MON2_HUMAN	Q7Z3U7	MON2	ENSG00000061987	null	23041
C1426548	AQP11_HUMAN	Q8NBQ7	AQP11	ENSG00000178301	null	282679
C1823402	TM139_HUMAN	Q8IV31	TMEM139	ENSG00000178826	null	135932
C2678535	OR5G3_HUMAN	P0C626	null	ENSG00000241356	null	null
C3543631	MPC1L_HUMAN	P0DKB6	MPC1L	ENSG00000238205	null	null
C1421987	RNF12_HUMAN	Q9NVW2	RLIM	ENSG00000131263	null	51132
C2829540	GPCP1_HUMAN	Q9NPB8	GPCPD1	ENSG00000125772	null	56261
C1423614	NOLC1_HUMAN	Q14978	NOLC1	ENSG00000166197	null	9221
C2828709	SMAGP_HUMAN	Q0VAQ4	SMAGP	ENSG00000170545	null	57228
C1822691	SETD7_HUMAN	Q8WTS6	SETD7	ENSG00000145391	T73184	80854
C1423633	TLR9_HUMAN	Q9NR96	TLR9	ENSG00000239732	T11451	54106
C1824140	ERIP6_HUMAN	Q7L0X2	ERICH6	ENSG00000163645	null	null
C1824503	CT197_HUMAN	Q8N268	null	ENSG00000176659	null	null
C1824708	HAUS2_HUMAN	Q9NVX0	HAUS2	ENSG00000137814	null	null
C1418549	ELAF_HUMAN	P19957	PI3	ENSG00000124102	null	5266
C2239898	RN214_HUMAN	Q8ND24	RNF214	ENSG00000167257	null	257160
C1418251	PH4H_HUMAN	P00439	PAH	ENSG00000171759	T76213	5053
C1426714	T229B_HUMAN	Q8NBD8	TMEM229B	ENSG00000198133	null	161145
C1423459	OR2Z1_HUMAN	Q8NG97	OR2Z1	ENSG00000181733	null	null
C1424897	TIM22_HUMAN	Q9Y584	TIMM22	ENSG00000177370	null	29928
C1823437	STING_HUMAN	Q86WV6	STING1	ENSG00000184584	T99338	340061
C1421274	UB2D2_HUMAN	P62837	UBE2D2	ENSG00000131508	null	7322
C1825411	GP179_HUMAN	Q6PRD1	null	ENSG00000277399	null	440435
C1414953	GALT3_HUMAN	Q14435	GALNT3	ENSG00000115339	null	2591
C1415587	HLAG_HUMAN	P17693	HLA-G	ENSG00000204632	T95108	3135
C1419659	RL32_HUMAN	P62910	RPL32	ENSG00000144713	null	6161
C1412999	CO4A_HUMAN	P0C0L4	C4A	ENSG00000244731	null	720
C1366510	LIMS1_HUMAN	P48059	LIMS1	ENSG00000169756	null	3987
C1823492	LIN41_HUMAN	Q2Q1W2	TRIM71	ENSG00000206557	null	131405
C1422334	PRD12_HUMAN	Q9H4Q4	PRDM12	ENSG00000130711	null	59335
C1428073	CJ011_HUMAN	Q9H2I8	LRMDA	ENSG00000148655	null	83938
C1337034	XRCC5_HUMAN	P13010	XRCC5	ENSG00000079246	T53562	7520
C1415892	IFIT1_HUMAN	P09914	IFIT1	ENSG00000185745	null	3434
C1414692	FPR3_HUMAN	P25089	FPR3	ENSG00000187474	T25705	2359
C3470872	CD011_HUMAN	Q6W349	null	ENSG00000231782	null	null
C1412467	APLP2_HUMAN	Q06481	APLP2	ENSG00000084234	null	334
C2239565	KLDC9_HUMAN	Q8NEP7	KLHDC9	ENSG00000162755	null	null
C1537648	MANS1_HUMAN	Q9H8J5	MANSC1	ENSG00000111261	null	54682
C1428430	DDIT4_HUMAN	Q9NX09	DDIT4	ENSG00000168209	T83561,T37245	54541
C1823995	ZN695_HUMAN	Q8IW36	ZNF695	ENSG00000197472	null	57116
C1825738	KRBA2_HUMAN	Q6ZNG9	KRBA2	ENSG00000184619	null	124751
C1425212	RL10L_HUMAN	Q96L21	RPL10L	ENSG00000165496	null	140801
C1416559	KCNC4_HUMAN	Q03721	KCNC4	ENSG00000116396	T29635	3749
C1428699	MSPD2_HUMAN	Q8NHP6	MOSPD2	ENSG00000130150	null	158747
C1414899	LYAG_HUMAN	P10253	GAA	ENSG00000171298	T31514	2548
C1423882	RERG_HUMAN	Q96A58	RERG	ENSG00000134533	null	85004
C1825538	HS905_HUMAN	Q58FG0	null	ENSG00000205955	null	null
C1414924	GBRR2_HUMAN	P28476	GABRR2	ENSG00000111886	T90682	2570
C1419414	RNF10_HUMAN	Q8N5U6	RNF10	ENSG00000022840	null	9921
C1419258	RANG_HUMAN	P43487	RANBP1	ENSG00000099901	null	5902
C1420997	A0A075B6T7_HUMAN	A0A075B6T7	TRAV6	ENSG00000211780	null	null
C1413931	ACE_HUMAN	P12821	ACE	ENSG00000159640	T82577	1636
C1427926	EAF2_HUMAN	Q96CJ1	EAF2	ENSG00000145088	null	55840
C1419009	PSA7_HUMAN	O14818	PSMA7	ENSG00000101182	null	5688
C1540015	TMM42_HUMAN	Q69YG0	TMEM42	ENSG00000169964	null	null
C1419364	RFXK_HUMAN	O14593	RFXANK	ENSG00000064490	null	8625
C1423627	SIG11_HUMAN	Q96RL6	SIGLEC11	ENSG00000161640	null	null
C1423529	ANKH_HUMAN	Q9HCJ1	ANKH	ENSG00000154122	null	56172
C0812372	MAS_HUMAN	P04201	MAS1	ENSG00000130368	T33318,T91894	4142
C1537434	KAZD1_HUMAN	Q96I82	KAZALD1	ENSG00000107821	null	81621
C1538722	CENPV_HUMAN	Q7Z7K6	CENPV	ENSG00000166582	null	201161
C1439350	GPIX_HUMAN	P14770	GP9	ENSG00000169704	null	2815
C1825576	IF2B1_HUMAN	Q9NZI8	IGF2BP1	ENSG00000159217	null	10642
C1420193	B3AT_HUMAN	P02730	SLC4A1	ENSG00000004939	null	6521
C1413699	CRADD_HUMAN	P78560	CRADD	ENSG00000169372	null	8738
C1824650	CEP89_HUMAN	Q96ST8	CEP89	ENSG00000121289	null	84902
C1824834	CX057_HUMAN	Q6NSI4	RADX	ENSG00000147231	null	null
C1538404	APC16_HUMAN	Q96DE5	ANAPC16	ENSG00000166295	null	119504
C1415452	H4G_HUMAN	Q99525	H4C7	ENSG00000275663	null	8369
